# spectrum acquired about 2 hrs after the trigger. Magnitude ~ 16/17
# Ang	10^-16 erg/cm^2/s/Angstrom
          3.0370833E+03       0.0000000E+00             
          3.0371077E+03       0.0000000E+00             
          3.0371318E+03       0.0000000E+00             
          3.0371562E+03       0.0000000E+00             
          3.0371804E+03       0.0000000E+00             
          3.0372048E+03       0.0000000E+00             
          3.0372292E+03       0.0000000E+00             
          3.0372534E+03       0.0000000E+00             
          3.0372778E+03       0.0000000E+00             
          3.0373022E+03       0.0000000E+00             
          3.0373264E+03       0.0000000E+00             
          3.0373508E+03       0.0000000E+00             
          3.0373752E+03       0.0000000E+00             
          3.0373994E+03       0.0000000E+00             
          3.0374238E+03       0.0000000E+00             
          3.0374482E+03       0.0000000E+00             
          3.0374724E+03       0.0000000E+00             
          3.0374968E+03       0.0000000E+00             
          3.0375210E+03       0.0000000E+00             
          3.0375454E+03       0.0000000E+00             
          3.0375698E+03       0.0000000E+00             
          3.0375940E+03       0.0000000E+00             
          3.0376184E+03       0.0000000E+00             
          3.0376428E+03       0.0000000E+00             
          3.0376670E+03       0.0000000E+00             
          3.0376914E+03       0.0000000E+00             
          3.0377158E+03       0.0000000E+00             
          3.0377400E+03       0.0000000E+00             
          3.0377644E+03       0.0000000E+00             
          3.0377888E+03       0.0000000E+00             
          3.0378130E+03       0.0000000E+00             
          3.0378374E+03       0.0000000E+00             
          3.0378616E+03       0.0000000E+00             
          3.0378860E+03       0.0000000E+00             
          3.0379104E+03       0.0000000E+00             
          3.0379346E+03       0.0000000E+00             
          3.0379590E+03       0.0000000E+00             
          3.0379834E+03       0.0000000E+00             
          3.0380076E+03       0.0000000E+00             
          3.0380320E+03       0.0000000E+00             
          3.0380564E+03       0.0000000E+00             
          3.0380806E+03       0.0000000E+00             
          3.0381050E+03       0.0000000E+00             
          3.0381294E+03       0.0000000E+00             
          3.0381536E+03       0.0000000E+00             
          3.0381780E+03       0.0000000E+00             
          3.0382021E+03       0.0000000E+00             
          3.0382266E+03       0.0000000E+00             
          3.0382510E+03       0.0000000E+00             
          3.0382751E+03       0.0000000E+00             
          3.0382996E+03       0.0000000E+00             
          3.0383240E+03       0.0000000E+00             
          3.0383481E+03       0.0000000E+00             
          3.0383726E+03       0.0000000E+00             
          3.0383970E+03       0.0000000E+00             
          3.0384211E+03       0.0000000E+00             
          3.0384456E+03       0.0000000E+00             
          3.0384700E+03       0.0000000E+00             
          3.0384941E+03       0.0000000E+00             
          3.0385186E+03       0.0000000E+00             
          3.0385427E+03       0.0000000E+00             
          3.0385671E+03       0.0000000E+00             
          3.0385916E+03       0.0000000E+00             
          3.0386157E+03       0.0000000E+00             
          3.0386401E+03       0.0000000E+00             
          3.0386646E+03       0.0000000E+00             
          3.0386887E+03       0.0000000E+00             
          3.0387131E+03       0.0000000E+00             
          3.0387375E+03       0.0000000E+00             
          3.0387617E+03       0.0000000E+00             
          3.0387861E+03       0.0000000E+00             
          3.0388105E+03       0.0000000E+00             
          3.0388347E+03       0.0000000E+00             
          3.0388591E+03       0.0000000E+00             
          3.0388833E+03       0.0000000E+00             
          3.0389077E+03       0.0000000E+00             
          3.0389321E+03       0.0000000E+00             
          3.0389563E+03       0.0000000E+00             
          3.0389807E+03       0.0000000E+00             
          3.0390051E+03       0.0000000E+00             
          3.0390293E+03       0.0000000E+00             
          3.0390537E+03       0.0000000E+00             
          3.0390781E+03       0.0000000E+00             
          3.0391023E+03       0.0000000E+00             
          3.0391267E+03       0.0000000E+00             
          3.0391511E+03       0.0000000E+00             
          3.0391753E+03       0.0000000E+00             
          3.0391997E+03       0.0000000E+00             
          3.0392239E+03       0.0000000E+00             
          3.0392483E+03       0.0000000E+00             
          3.0392727E+03       0.0000000E+00             
          3.0392969E+03       0.0000000E+00             
          3.0393213E+03       0.0000000E+00             
          3.0393457E+03       0.0000000E+00             
          3.0393699E+03       0.0000000E+00             
          3.0393943E+03       0.0000000E+00             
